,id,term,vader,liu,subj,liwc
0,aut0,autism,0.38560000000000016,2.0,-8.0,4.0
1,aut1,autism,-0.4466999999999999,-7.0,0.0,9.0
2,aut2,autism,0.4959,0.0,-7.0,13.0
3,aut3,autism,1.2321000000000002,-1.0,3.0,7.0
4,aut4,autism,-0.3406000000000001,-10.0,-2.0,3.0
5,aut5,autism,-0.47479999999999983,-5.0,-2.0,12.0
6,aut6,autism,1.4575,-3.0,-2.0,6.0
7,aut7,autism,3.8200000000000003,7.0,0.0,8.0
8,aut8,autism,3.696,4.0,-5.0,-2.0
9,aut9,autism,1.495,1.0,1.0,16.0
10,aut10,autism,2.564,-5.0,-4.0,17.0
11,aut11,autism,-0.5811,-8.0,0.0,-4.0
12,aut12,autism,6.5127,6.0,1.0,-1.0
13,aut13,autism,3.2575999999999996,6.0,-5.0,10.0
14,aut14,autism,0.5216999999999998,-6.0,-2.0,6.0
15,aut15,autism,-1.2613999999999999,-4.0,2.0,1.0
16,aut16,autism,-1.3063000000000002,-4.0,-4.0,0.0
17,aut17,autism,0.6397,0.0,-4.0,13.0
18,aut18,autism,-2.5905000000000005,-10.0,-5.0,-6.0
19,aut19,autism,-0.24470000000000003,0.0,-1.0,3.0
20,aut20,autism,-0.8737999999999999,-3.0,-1.0,4.0
21,aut21,autism,2.7038999999999995,-6.0,-1.0,3.0
22,aut22,autism,-0.6093999999999999,-4.0,5.0,5.0
23,aut23,autism,4.3818,3.0,-17.0,12.0
24,aut24,autism,3.1795999999999998,-5.0,-1.0,-3.0
25,aut25,autism,-9.4907,-11.0,-6.0,3.0
26,aut26,autism,5.7097,5.0,-10.0,-4.0
27,aut27,autism,1.1173,-2.0,-1.0,-14.0
28,aut28,autism,7.254100000000001,8.0,-1.0,-9.0
29,aut29,autism,-1.6016000000000004,-4.0,-5.0,6.0
30,aut30,autism,3.3636,3.0,0.0,-32.0
31,aut31,autism,4.3617,1.0,-8.0,5.0
32,aut32,autism,-0.5408000000000001,-7.0,2.0,0.0
33,aut33,autism,2.8988,2.0,0.0,7.0
34,aut34,autism,10.354899999999999,16.0,-26.0,18.0
35,aut35,autism,2.2918,-2.0,3.0,9.0
36,aut36,autism,-3.6773,-8.0,-1.0,2.0
37,aut37,autism,0.6178,-1.0,-3.0,1.0
38,aut38,autism,5.8111,6.0,1.0,8.0
39,aut39,autism,-2.4958,-12.0,-14.0,-1.0
40,aut40,autism,4.646199999999999,5.0,-9.0,2.0
41,aut41,autism,0.4374999999999999,0.0,-2.0,12.0
42,aut42,autism,-0.5135000000000002,-1.0,-3.0,3.0
43,aut43,autism,40.8044,38.0,13.0,43.0
44,aut44,autism,5.187600000000001,10.0,-9.0,8.0
45,aut45,autism,5.071400000000001,11.0,-6.0,5.0
46,aut46,autism,3.0856,2.0,-4.0,6.0
47,aut47,autism,4.3828,2.0,-7.0,4.0
48,aut48,autism,-0.22899999999999981,1.0,3.0,1.0
49,aut49,autism,4.208600000000001,-1.0,12.0,12.0
50,aut50,autism,-3.6690000000000005,-12.0,-4.0,1.0
51,aut51,autism,-0.0655,-5.0,-4.0,-3.0
52,aut52,autism,2.8841000000000006,6.0,12.0,-3.0
53,aut53,autism,-0.3541,-11.0,1.0,0.0
54,aut54,autism,-0.903,-4.0,-1.0,4.0
55,aut55,autism,1.3395000000000006,-7.0,-5.0,-7.0
56,aut56,autism,1.4652,-13.0,3.0,-8.0
57,aut57,autism,2.9374,4.0,5.0,3.0
58,aut58,autism,1.9112999999999998,10.0,-4.0,8.0
59,aut59,autism,-2.0223999999999998,-6.0,-2.0,6.0
60,aut60,autism,2.059,3.0,1.0,7.0
61,aut61,autism,4.7299,7.0,-3.0,-8.0
62,aut62,autism,2.7098000000000004,-1.0,-10.0,5.0
63,aut63,autism,2.3685,-2.0,-1.0,17.0
64,aut64,autism,6.1854,9.0,-5.0,12.0
65,aut65,autism,5.4648,1.0,-7.0,3.0
66,aut67,autism,2.5332,-2.0,-2.0,2.0
67,aut68,autism,9.0174,4.0,-13.0,17.0
68,aut69,autism,-1.6539999999999997,-2.0,-11.0,4.0
69,aut70,autism,-1.0923000000000007,6.0,-8.0,12.0
70,aut71,autism,1.2571,-2.0,-13.0,7.0
71,aut72,autism,-5.7321,-8.0,2.0,1.0
72,aut73,autism,3.0285,-7.0,2.0,-2.0
73,aut74,autism,0.6082000000000001,-2.0,1.0,2.0
74,aut75,autism,6.1538,4.0,-8.0,6.0
75,aut76,autism,2.3936,10.0,7.0,3.0
76,aut77,autism,0.3339000000000001,3.0,-5.0,10.0
77,aut78,autism,5.2194,8.0,5.0,4.0
78,aut79,autism,5.321600000000001,2.0,-9.0,7.0
79,aut80,autism,5.655400000000001,12.0,-15.0,11.0
80,aut81,autism,2.9163,0.0,-4.0,12.0
81,aut82,autism,4.5947000000000005,6.0,10.0,3.0
82,aut83,autism,1.6901,0.0,-17.0,0.0
83,aut84,autism,-2.0247999999999995,-7.0,2.0,-2.0
84,aut85,autism,0.5139,-3.0,-5.0,7.0
85,aut86,autism,2.3712999999999997,1.0,-5.0,10.0
86,aut87,autism,-0.08169999999999983,0.0,-8.0,8.0
87,aut88,autism,-0.2484,0.0,-1.0,-1.0
88,aut89,autism,3.4616000000000002,4.0,-2.0,17.0
89,aut90,autism,-0.07000000000000017,-2.0,-6.0,6.0
90,aut91,autism,1.3887,4.0,10.0,4.0
91,aut92,autism,-4.6612,-10.0,-6.0,10.0
92,aut93,autism,2.0027999999999997,-1.0,-5.0,3.0
93,aut94,autism,-3.2750999999999992,-7.0,-6.0,7.0
94,aut95,autism,1.9085999999999999,6.0,4.0,0.0
95,aut96,autism,2.3712999999999997,1.0,-5.0,10.0
96,aut97,autism,5.3756,1.0,-8.0,2.0
97,aut98,autism,7.2934,5.0,1.0,4.0
98,aut99,autism,-2.1834999999999996,-4.0,-2.0,21.0
99,aut100,autism,0.9961000000000004,0.0,-2.0,4.0
100,aut101,autism,2.2278000000000002,1.0,1.0,-4.0
101,aut102,autism,1.6763,5.0,-11.0,4.0
102,aut103,autism,0.9809999999999999,0.0,-4.0,5.0
103,aut104,autism,1.2313,-6.0,0.0,-7.0
104,aut105,autism,-1.4824000000000002,-6.0,-1.0,-1.0
105,aut106,autism,4.080800000000001,-1.0,-13.0,14.0
106,aut107,autism,-2.0919999999999996,-7.0,-3.0,10.0
107,aut108,autism,-0.545,-4.0,-8.0,-3.0
108,aut109,autism,3.8266,-1.0,-2.0,-5.0
109,aut110,autism,0.7573999999999999,-1.0,1.0,5.0
110,aut111,autism,0.9864000000000002,-5.0,-4.0,4.0
111,aut113,autism,-0.4826999999999999,3.0,-7.0,6.0
112,aut114,autism,1.2902999999999998,-3.0,-8.0,6.0
113,aut115,autism,6.731599999999999,6.0,-8.0,11.0
114,aut116,autism,1.4677,1.0,0.0,-2.0
115,aut117,autism,0.8412999999999999,3.0,3.0,1.0
116,aut118,autism,1.1024999999999998,-2.0,-6.0,14.0
117,aut119,autism,-3.2431,-5.0,-5.0,17.0
118,aut120,autism,-4.837899999999999,-9.0,-5.0,3.0
119,aut121,autism,0.7869999999999999,-6.0,-2.0,3.0
120,aut122,autism,-0.37250000000000033,-5.0,-12.0,-17.0
121,aut123,autism,-0.2604000000000001,3.0,-8.0,2.0
122,aut124,autism,0.9285,1.0,1.0,8.0
123,aut125,autism,-0.545,-4.0,-8.0,-3.0
124,aut126,autism,3.1862,-3.0,7.0,7.0
125,aut127,autism,0.03220000000000023,-4.0,-5.0,2.0
126,aut128,autism,0.7484,-3.0,4.0,-9.0
127,aut129,autism,1.3734000000000002,6.0,-10.0,0.0
128,aut130,autism,2.5157000000000007,-1.0,5.0,0.0
129,aut131,autism,1.5846,2.0,-12.0,2.0
130,aut132,autism,-0.2804999999999999,-5.0,0.0,-4.0
131,aut133,autism,-1.6267,-2.0,-14.0,32.0
132,aut134,autism,2.3118,-2.0,-9.0,4.0
133,aut135,autism,3.4183000000000003,4.0,4.0,19.0
134,aut136,autism,-0.05700000000000022,-1.0,-5.0,12.0
135,aut137,autism,-2.5223,-8.0,-4.0,8.0
136,aut138,autism,3.8205,6.0,-2.0,-3.0
137,aut139,autism,4.418300000000001,9.0,4.0,-4.0
138,aut140,autism,4.4796000000000005,2.0,6.0,10.0
139,aut141,autism,3.7523999999999997,7.0,-9.0,-7.0
140,aut142,autism,1.8636,-13.0,7.0,7.0
141,aut143,autism,1.2668,2.0,-3.0,8.0
142,aut144,autism,-1.2724,-3.0,-10.0,1.0
143,aut145,autism,1.1271999999999998,3.0,2.0,15.0
144,aut146,autism,-8.028799999999999,-14.0,6.0,7.0
145,aut147,autism,2.3461000000000003,-1.0,-10.0,7.0
146,aut148,autism,2.3217,6.0,-10.0,20.0
147,aut149,autism,1.8215999999999999,-1.0,7.0,0.0
148,aut150,autism,7.3127,-4.0,-6.0,8.0
149,aut151,autism,0.355,-5.0,-7.0,-2.0
150,aut152,autism,2.2337999999999996,-2.0,-2.0,2.0
151,aut153,autism,1.1728000000000003,-21.0,12.0,18.0
152,aut154,autism,0.23020000000000002,1.0,-10.0,15.0
153,aut155,autism,-1.8745,-6.0,-2.0,13.0
154,aut156,autism,6.5961,3.0,-13.0,6.0
155,aut157,autism,2.5275,0.0,-3.0,6.0
156,aut158,autism,-4.8103,-7.0,-8.0,10.0
157,aut159,autism,-2.3434000000000004,-10.0,-3.0,3.0
158,aut160,autism,-8.186799999999998,-14.0,-4.0,-1.0
159,aut161,autism,2.1159999999999997,-1.0,1.0,9.0
160,aut162,autism,1.526,4.0,-4.0,-2.0
161,aut163,autism,2.0020999999999995,5.0,-4.0,1.0
162,aut164,autism,4.1368,-5.0,0.0,10.0
163,aut165,autism,4.5301,0.0,3.0,8.0
164,aut166,autism,0.16489999999999982,-6.0,-11.0,-1.0
165,aut167,autism,0.0,1.0,3.0,1.0
166,aut168,autism,2.3391,2.0,2.0,9.0
167,aut169,autism,-2.9395999999999995,-3.0,-4.0,9.0
168,aut170,autism,0.7580000000000001,-7.0,-15.0,17.0
169,aut171,autism,4.4674,4.0,1.0,-3.0
170,aut172,autism,1.029,-1.0,-9.0,2.0
171,aut173,autism,-2.9503000000000004,-16.0,0.0,22.0
172,aut174,autism,4.4617,9.0,-4.0,14.0
173,aut175,autism,0.09260000000000003,-2.0,1.0,-1.0
174,aut176,autism,2.1318,1.0,-5.0,0.0
175,aut177,autism,1.0196000000000007,-3.0,-15.0,6.0
176,aut178,autism,6.0646,20.0,-9.0,25.0
177,aut179,autism,2.1482,3.0,2.0,5.0
178,aut180,autism,0.6344000000000001,1.0,-3.0,-1.0
179,aut181,autism,5.0388,8.0,5.0,12.0
180,aut182,autism,2.9387,1.0,1.0,7.0
181,aut183,autism,2.4208000000000003,1.0,-8.0,20.0
182,aut184,autism,1.9927000000000001,6.0,4.0,19.0
183,aut185,autism,0.13850000000000035,1.0,7.0,12.0
184,aut186,autism,2.1889000000000003,3.0,-2.0,2.0
185,aut187,autism,9.868699999999999,9.0,-5.0,-14.0
186,aut188,autism,-0.903,-4.0,3.0,1.0
187,aut189,autism,3.6928999999999994,5.0,3.0,0.0
188,aut190,autism,1.2829000000000002,-6.0,-5.0,9.0
189,aut191,autism,-2.2184,-3.0,-4.0,4.0
190,aut192,autism,3.216200000000001,-6.0,-5.0,-6.0
191,aut193,autism,-0.9883999999999998,11.0,-4.0,24.0
192,aut194,autism,1.2978,1.0,-1.0,5.0
193,aut195,autism,2.9224,6.0,-3.0,6.0
194,aut196,autism,4.3883,9.0,-8.0,13.0
195,aut197,autism,-1.1068,-1.0,-1.0,11.0
196,aut198,autism,3.5728000000000004,0.0,-10.0,0.0
197,aut199,autism,1.789,-1.0,-3.0,11.0
198,aut200,autism,0.3024000000000001,2.0,-3.0,-3.0
199,aut201,autism,17.3448,7.0,1.0,-3.0
200,aut202,autism,5.782000000000001,-2.0,-19.0,19.0
201,aut203,autism,5.900499999999999,5.0,-5.0,17.0
202,aut204,autism,0.47319999999999984,0.0,0.0,6.0
203,aut205,autism,3.8266,0.0,-3.0,6.0
204,aut206,autism,4.416799999999999,-1.0,-19.0,4.0
205,aut207,autism,3.7638999999999996,1.0,-17.0,-1.0
206,aut208,autism,0.6065999999999999,-2.0,-6.0,10.0
207,aut209,autism,2.0076,-7.0,-8.0,8.0
208,aut210,autism,8.7622,7.0,6.0,23.0
209,aut211,autism,0.8908,0.0,-2.0,2.0
210,aut212,autism,0.3024000000000001,2.0,-3.0,-3.0
211,aut213,autism,0.5853999999999999,3.0,-10.0,1.0
212,aut214,autism,6.614300000000001,5.0,-12.0,9.0
213,aut215,autism,3.9509,2.0,-10.0,16.0
214,aut216,autism,1.0327000000000002,4.0,2.0,-4.0
215,aut217,autism,2.024,0.0,1.0,3.0
216,aut218,autism,0.1774,-2.0,-4.0,-4.0
217,aut220,autism,1.2343,1.0,0.0,4.0
218,aut221,autism,3.4884,0.0,7.0,8.0
219,aut222,autism,0.6288,-4.0,-3.0,0.0
220,aut223,autism,2.8899000000000004,-3.0,4.0,-6.0
221,aut224,autism,2.91,-1.0,-6.0,3.0
222,aut225,autism,0.2373,-3.0,2.0,6.0
223,aut226,autism,3.4972999999999996,-1.0,5.0,4.0
224,aut227,autism,-0.6636000000000001,-1.0,-5.0,3.0
225,aut228,autism,4.491900000000001,-1.0,-8.0,13.0
226,aut229,autism,-1.8330000000000002,-8.0,1.0,0.0
227,aut230,autism,5.3439,2.0,3.0,-2.0
228,aut231,autism,-1.0750000000000002,-6.0,1.0,2.0
229,aut232,autism,1.4328,3.0,-8.0,20.0
230,aut233,autism,5.8754,9.0,-4.0,-1.0
231,aut234,autism,4.9315999999999995,-4.0,4.0,7.0
232,aut235,autism,3.0914,9.0,-15.0,18.0
233,aut236,autism,3.2986,3.0,0.0,5.0
234,aut237,autism,0.8432,1.0,-2.0,5.0
235,aut238,autism,2.5263,-5.0,-1.0,3.0
236,aut239,autism,4.796200000000002,9.0,7.0,1.0
237,aut240,autism,-0.11430000000000029,11.0,-3.0,8.0
238,aut241,autism,3.0630000000000006,1.0,-9.0,4.0
239,aut242,autism,0.16770000000000007,0.0,-3.0,3.0
240,aut243,autism,-2.4268,-6.0,-8.0,3.0
241,aut244,autism,5.046,6.0,-2.0,15.0
242,aut245,autism,3.4834,7.0,-3.0,3.0
243,aut246,autism,3.4977000000000005,5.0,-7.0,13.0
244,aut247,autism,7.003999999999999,13.0,-14.0,10.0
245,aut248,autism,1.7969,-6.0,-11.0,20.0
246,aut249,autism,1.5819999999999996,3.0,-4.0,0.0
247,aut250,autism,2.8128999999999995,-7.0,-7.0,16.0
248,aut251,autism,-1.5410999999999997,-9.0,2.0,12.0
249,aut252,autism,1.2827,-2.0,-5.0,3.0
250,aut253,autism,1.0958,-3.0,2.0,3.0
251,aut254,autism,-0.9239999999999996,-8.0,-3.0,16.0
252,aut255,autism,-0.5541999999999998,-3.0,1.0,8.0
253,aut256,autism,2.4165,0.0,-2.0,7.0
254,aut257,autism,4.408200000000001,6.0,-10.0,20.0
255,aut258,autism,3.2296999999999993,-2.0,-8.0,4.0
256,aut259,autism,3.2923,4.0,-5.0,3.0
257,aut260,autism,-1.2230999999999999,-10.0,-2.0,4.0
258,aut261,autism,3.6832,-3.0,0.0,0.0
259,aut262,autism,2.2538,-3.0,-9.0,-18.0
260,aut263,autism,3.931,1.0,-5.0,-1.0
261,aut264,autism,6.795400000000001,4.0,-12.0,1.0
262,aut265,autism,-1.9529,-6.0,3.0,4.0
263,aut266,autism,-0.743,-2.0,-2.0,1.0
