id,term,n_words,has_source_link,has_article_link,has_other_link,region,journal
aut0,autism,410,False,False,False,namerica,Neurology
aut1,autism,202,True,False,False,namerica,"Brain, Behavior and Immunity"
aut2,autism,250,True,True,False,namerica,Proceedings of the National Academy of Sciences
aut3,autism,294,False,True,False,europe,Molecular Psychiatry
aut4,autism,219,True,False,False,namerica,Journal of Clinical Oncology
aut5,autism,374,False,True,False,namerica,Proceedings of the National Academy of Sciences
aut6,autism,538,False,True,False,namerica,Nature
aut7,autism,2310,False,False,False,namerica,Annals of Family Medicine
aut8,autism,181,False,False,False,namerica,Antimicrobial Agents and Chemotherapy
aut9,autism,248,True,True,False,namerica,Scientific Reports
aut10,autism,590,True,False,False,namerica,Genetics
aut11,autism,324,False,True,False,namerica,Nature Communications
aut12,autism,348,False,True,False,namerica,Molecular Autism
aut13,autism,248,False,False,False,namerica,Depression and Anxiety
aut14,autism,441,False,False,False,namerica,Nature Communications
aut15,autism,336,True,False,False,namerica,BMJ Open
aut16,autism,191,True,True,False,europe,Biological Psychiatry
aut17,autism,723,False,False,True,namerica,Biological Psychiatry
aut18,autism,316,True,True,False,namerica,Journal of Virology
aut19,autism,198,True,True,False,europe,Frontiers in Physiology
aut20,autism,461,True,True,False,namerica,Cell Reports
aut21,autism,355,False,False,False,namerica,New England Journal of Medicine
aut22,autism,385,False,True,False,europe,Nature
aut23,autism,82,False,False,False,namerica,
aut24,autism,123,False,True,False,asia,Current Vascular Pharmacology
aut25,autism,285,True,True,False,europe,Biological Psychiatry
aut26,autism,522,False,False,False,namerica,Microbiome
aut27,autism,269,False,True,False,namerica,Microbiome
aut28,autism,133,False,False,False,namerica,Policy Insights from the Behavioral and Brain Sciences
aut29,autism,447,True,False,False,asia,Proceedings of the National Academy of Sciences
aut30,autism,685,True,True,False,namerica,Science
aut31,autism,339,True,False,False,namerica,Scientific Reports
aut32,autism,311,False,True,False,namerica,Occupational Therapy in Mental Health
aut33,autism,443,False,False,False,namerica,Cell Reports
aut34,autism,283,True,False,False,namerica,American Journal of Perinatology
aut35,autism,265,False,False,False,namerica,eLife
aut36,autism,220,True,True,False,asia,Molecular Psychiatry
aut37,autism,160,False,False,False,namerica,Proceedings of the National Academy of Sciences
aut38,autism,443,False,False,False,namerica,Cell Reports
aut39,autism,283,True,False,False,namerica,American Journal of Perinatology
aut40,autism,265,False,False,False,namerica,eLife
aut41,autism,220,True,True,False,asia,Molecular Psychiatry
aut42,autism,160,False,False,False,namerica,Proceedings of the National Academy of Sciences
aut43,autism,303,False,False,False,namerica,Brain
aut44,autism,355,False,False,False,europe,Nature Communications
aut45,autism,257,True,False,False,europe,Diabetes
aut46,autism,354,False,False,False,namerica,Journal of Clinical Investigation
aut47,autism,284,True,True,False,namerica,Research in Autism Spectrum Disorders
aut48,autism,209,False,True,False,namerica,Journal of Experimental Medicine
aut49,autism,447,False,False,False,namerica,Neuron
aut50,autism,148,False,False,False,namerica,JAMA Psychiatry
aut51,autism,245,False,True,False,europe,Nature Communications
aut52,autism,233,True,True,False,namerica,Nature Neuroscience
aut53,autism,660,True,True,False,namerica,Nature Neuroscience
aut54,autism,493,False,False,False,namerica,Health Affairs
aut55,autism,425,False,False,False,namerica,Health Affairs
aut56,autism,372,False,False,False,namerica,Proceedings of the National Academy of Sciences
aut57,autism,304,False,True,False,namerica,PLOS Biology
aut58,autism,203,False,True,False,namerica,Nature
aut59,autism,508,True,False,False,namerica,Nature
aut60,autism,594,False,False,False,namerica,Nature
aut61,autism,332,True,True,False,asia,Developmental Medicine and Child Neurology
aut62,autism,672,False,True,False,namerica,Nature
aut63,autism,401,False,False,False,namerica,Blood
aut64,autism,387,False,True,False,namerica,New England Journal of Medicine
aut65,autism,307,False,True,False,africa,New Genetics and Society
aut66,autism,352,False,True,False,namerica,eLife
aut67,autism,352,False,True,False,namerica,eLife
aut68,autism,88,False,False,False,namerica,
aut69,autism,129,False,True,False,namerica,Journal of Clinical Investigation
aut70,autism,663,False,True,False,europe,Nature Human Behaviour
aut71,autism,448,False,True,False,namerica,Pediatrics
aut72,autism,350,False,True,False,namerica,Neuron
aut73,autism,409,False,False,False,namerica,Neuron
aut74,autism,426,False,True,False,namerica,Nature Genetics
aut75,autism,330,False,False,False,namerica,mSphere
aut76,autism,175,True,False,False,namerica,Cell Reports
aut77,autism,316,False,False,False,namerica,Cell Reports
aut78,autism,245,True,False,False,europe,Biological Psychiatry
aut79,autism,128,False,True,False,namerica,Neuroscience
aut80,autism,396,True,False,False,namerica,AIMS Public Health
aut81,autism,327,False,False,False,namerica,Science
aut82,autism,591,True,False,False,namerica,Journal of Autism and Developmental Disorders
aut83,autism,258,False,False,False,namerica,Science Translational Medicine
aut84,autism,334,False,False,False,namerica,Journal of Autism and Developmental Disorders
aut85,autism,339,False,False,False,namerica,Royal Society Open Science
aut86,autism,712,True,False,False,namerica,
aut87,autism,172,False,False,False,namerica,PLOS Genetics
aut88,autism,379,True,True,False,namerica,Animal Behaviour
aut89,autism,379,True,False,False,namerica,Journal of Economic Literature
aut90,autism,235,True,True,False,europe,Nature Cell Biology
aut91,autism,270,False,False,False,namerica,New England Journal of Medicine
aut92,autism,519,True,True,False,namerica,Journal of Crohn's and Colitis
aut93,autism,403,False,False,False,namerica,Neuron
aut94,autism,351,False,False,False,namerica,New England Journal of Medicine
aut95,autism,243,True,False,False,namerica,Nature Communications
aut96,autism,460,False,False,False,namerica,
aut97,autism,287,True,True,False,namerica,Neuron
aut98,autism,341,True,True,False,namerica,Proceedings of the National Academy of Sciences
aut99,autism,341,True,True,False,namerica,Proceedings of the National Academy of Sciences
aut100,autism,150,True,True,False,namerica,Journal of Alternative and Complementary Medicine
aut102,autism,292,False,True,False,europe,Scientific Reports
aut103,autism,453,False,False,False,namerica,Nature Neuroscience
aut104,autism,430,True,False,False,namerica,Biological Psychiatry
aut105,autism,368,False,False,False,namerica,Biological Psychiatry
aut106,autism,472,False,False,False,namerica,EBioMedicine
aut107,autism,271,False,False,False,namerica,Proceedings of the National Academy of Sciences
aut108,autism,176,False,True,False,namerica,PLOS Computational Biology
aut109,autism,191,False,True,False,africa,Molecular Autism
aut110,autism,591,True,False,False,namerica,PLOS Computational Biology
aut111,autism,434,False,False,False,namerica,Nature
aut112,autism,277,True,True,False,europe,Molecular Psychiatry
aut113,autism,338,False,True,False,namerica,Translational Psychiatry
aut114,autism,331,False,True,False,europe,Scientific Reports
aut115,autism,308,True,True,False,namerica,Journal of Developmental & Behavioral Pediatrics
aut116,autism,445,False,False,False,namerica,
aut117,autism,375,False,True,True,europe,Nature Communications
aut118,autism,486,True,True,False,namerica,eLife
aut119,autism,461,True,True,False,europe,
aut120,autism,120,False,True,False,asia,Pediatrics International
aut121,autism,289,False,False,False,namerica,American Journal of Public Health
aut122,autism,390,False,False,False,namerica,Molecular Psychiatry
aut123,autism,350,False,True,False,europe,Molecular Psychiatry
aut124,autism,295,True,False,False,namerica,Journal of Autism and Developmental Disorders
aut125,autism,340,True,True,False,namerica,Human Molecular Genetics
aut126,autism,538,False,True,False,namerica,Nature Neuroscience
aut127,autism,252,False,False,False,europe,Journal of Autism and Developmental Disorders
aut128,autism,205,False,True,False,namerica,PLOS Computational Biology
aut129,autism,451,True,False,False,namerica,Pharmacometrics and Systems Pharmacology
aut130,autism,462,False,True,False,namerica,Molecular Psychiatry
aut131,autism,170,False,False,False,europe,Proceedings of the National Academy of Sciences
aut132,autism,560,False,False,False,namerica,
aut133,autism,333,False,True,False,namerica,eLife
aut134,autism,349,True,True,False,asia,Glia
aut135,autism,367,False,False,False,namerica,Nature
aut136,autism,368,False,False,False,namerica,Nature
aut137,autism,440,False,True,False,namerica,Journal of Child Psychology and Psychiatry
aut138,autism,378,False,False,False,namerica,Autism
aut140,autism,330,False,True,False,namerica,Molecular Psychiatry
aut141,autism,381,False,False,False,namerica,Proceedings of the National Academy of Sciences
aut142,autism,291,False,True,False,europe,Frontiers in Neuroscience
aut143,autism,376,True,True,False,namerica,JAMA
aut144,autism,227,False,False,False,namerica,JAMA
aut145,autism,273,True,False,False,namerica,Journal of Child and Family Studies
aut146,autism,125,False,True,False,namerica,Journal of Clinical Investigation
aut147,autism,77,False,False,False,namerica,JAMA Pediatrics
aut148,autism,369,False,True,False,europe,Scientific Reports
aut149,autism,488,False,False,False,namerica,Science
