term,id,fk,smog,consen,ar,fkg,fks,lwf
autism,aut0,,15.0,,15.6,12.5,47.42,12.625
autism,aut1,,13.9,,16.4,12.4,42.31,10.6
autism,aut2,,18.5,,19.3,17.1,19.4,13.25
autism,aut3,,17.7,,20.3,16.5,20.82,12.625
autism,aut4,,14.9,,15.7,12.4,42.41,12.125
autism,aut5,,13.5,,14.9,12.4,47.83,10.6
autism,aut6,,16.2,,18.7,15.2,35.1,13.0
autism,aut7,,17.4,,20.7,16.6,26.03,12.0
autism,aut8,,15.2,,16.1,13.8,33.34,11.1
autism,aut9,,15.0,,17.8,13.2,40.18,13.25
autism,aut10,,17.8,,22.8,18.1,32.8,16.8333333333
autism,aut11,,14.2,,13.7,12.1,48.43,10.4
autism,aut12,,16.6,,19.7,16.6,25.93,7.58333333333
autism,aut13,,16.7,,16.1,13.3,39.97,8.1
autism,aut14,,14.5,,16.5,13.3,45.49,13.375
autism,aut15,,15.1,,16.8,13.2,45.8,16.5
autism,aut16,,15.2,,15.0,13.8,33.34,8.16666666667
autism,aut17,,16.8,,19.7,16.6,31.35,16.0
autism,aut18,,13.2,,13.9,11.6,49.96,5.71428571429
autism,aut19,,15.2,,14.5,13.1,35.27,10.1
autism,aut20,,14.6,,16.2,13.4,45.19,10.8
autism,aut21,,15.1,,16.1,12.9,41.19,10.3
autism,aut22,,15.4,,15.7,14.0,38.25,6.66666666667
autism,aut23,,15.3,,15.7,13.6,33.95,12.25
autism,aut24,,10.4,,9.6,8.0,59.3,5.6875
autism,aut25,,17.5,,19.3,15.9,22.45,13.75
autism,aut26,,13.9,,15.6,12.9,41.19,13.25
autism,aut27,,13.9,,15.8,11.8,43.83,13.375
autism,aut28,,18.2,,21.5,18.0,22.38,16.5
autism,aut29,,17.1,,18.7,16.0,22.34,12.8
autism,aut30,,13.9,,15.8,12.6,47.32,16.5
autism,aut31,,12.8,,13.5,10.7,52.09,11.0
autism,aut32,,17.3,,19.5,16.0,27.56,16.6666666667
autism,aut33,,12.9,,15.3,12.4,42.31,13.25
autism,aut34,,17.4,,20.6,16.9,25.22,13.125
autism,aut35,,16.7,,19.7,17.0,25.12,20.0
autism,aut36,,14.2,,15.4,11.6,44.34,7.91666666667
autism,aut37,,12.0,,11.1,9.2,61.46,8.7
autism,aut38,,12.9,,15.3,12.4,42.31,13.25
autism,aut39,,17.4,,20.6,16.9,25.22,13.125
autism,aut40,,16.7,,19.7,17.0,25.12,20.0
autism,aut41,,14.2,,15.4,11.6,44.34,7.91666666667
autism,aut42,,12.0,,11.1,9.2,61.46,8.7
autism,aut43,,13.0,,14.8,12.0,48.84,17.3333333333
autism,aut44,,17.0,,18.2,14.5,31.62,10.3
autism,aut45,,13.5,,13.3,10.5,52.7,7.75
autism,aut46,,15.2,,16.3,13.5,39.47,10.2
autism,aut47,,14.7,,15.7,12.9,46.4,18.0
autism,aut48,,14.9,,17.8,13.9,38.55,12.75
autism,aut49,,15.1,,17.5,14.3,37.44,13.625
autism,aut50,,15.1,,16.8,13.9,33.14,8.91666666667
autism,aut51,,14.8,,15.9,13.2,40.28,10.9
autism,aut52,,15.7,,16.8,13.9,38.35,14.125
autism,aut53,,15.4,,17.3,13.5,39.57,12.0
autism,aut54,,15.2,,16.0,12.7,47.01,15.8333333333
autism,aut55,,13.7,,16.4,12.1,48.43,12.375
autism,aut56,,15.9,,16.4,13.6,33.75,9.0
autism,aut57,,16.6,,19.1,16.1,27.45,13.25
autism,aut58,,13.8,,15.2,12.4,53.14,12.25
autism,aut59,,14.1,,16.3,12.6,52.63,16.3333333333
