id,term,n_words,has_source_link,has_article_link,has_other_link,region,journal
29373119,autism,143,,,,,Biological psychiatry
29369294,autism,189,,,,,Acta neurobiologiae experimentalis
29367178,autism,125,,,,,Epilepsy research
29361396,autism,116,,,,,Neuromuscular disorders : NMD
29358944,autism,101,,,,,Frontiers in genetics
29355379,autism,103,,,,,Physiological research
29354029,autism,177,,,,,Frontiers in molecular neuroscience
29349289,autism,154,,,,,eNeuro
29348041,autism,162,,,,,Biological psychiatry. Cognitive neuroscience and neuroimaging
29348040,autism,137,,,,,Biological psychiatry. Cognitive neuroscience and neuroimaging
29347569,autism,52,,,,,Physical review. E
29343961,autism,91,,,,,Neuropsychiatric disease and treatment
29342818,autism,33,,,,,The Behavioral and brain sciences
29342514,autism,39,,,,,The Behavioral and brain sciences
29336819,autism,164,,,,,Biological psychiatry
29333487,autism,173,,,,,eNeuro
29333258,autism,167,,,,,F1000Research
29333196,autism,114,,,,,Research in autism spectrum disorders
29331800,autism,133,,,,,Psychoneuroendocrinology
29331354,autism,131,,,,,Biological psychiatry
29326565,autism,145,,,,,Frontiers in behavioral neuroscience
29326553,autism,163,,,,,Frontiers in cellular neuroscience
29325848,autism,160,,,,,Biological psychiatry
29321759,autism,130,,,,,Frontiers in neurology
29319673,autism,266,,,,,Vestnik oftalmologii
29317992,autism,83,,,,,World journal of cardiology
29317982,autism,104,,,,,Oxidative medicine and cellular longevity
29317182,autism,99,,,,,Current opinion in psychology
29312285,autism,182,,,,,Frontiers in immunology
29312101,autism,103,,,,,Frontiers in psychology
29311892,autism,177,,,,,Frontiers in synaptic neuroscience
29311773,autism,80,,,,,Frontiers in neuroscience
29310907,autism,130,,,,,Pediatric neurology
29309996,autism,161,,,,,Psychoneuroendocrinology
29306521,autism,162,,,,,Cortex; a journal devoted to the study of the nervous system and behavior
29306218,autism,47,,,,,Asian journal of psychiatry
29301667,autism,137,,,,,Journal of the American Academy of Child and Adolescent Psychiatry
29301665,autism,99,,,,,Journal of the American Academy of Child and Adolescent Psychiatry
29301637,autism,119,,,,,Patient education and counseling
29300843,autism,99,,,,,"Cerebral cortex (New York, N.Y. : 1991)"
29298278,autism,132,,,,,Neuro endocrinology letters
29297264,autism,99,,,,,International journal of neural systems
29296616,autism,132,,,,,Annals of clinical and translational neurology
29296277,autism,189,,,,,Molecular autism
29296085,autism,134,,,,,Neuropsychiatric disease and treatment
29296026,autism,3,,,,,Molecular psychiatry
29295738,autism,156,,,,,Biological psychiatry
29295472,autism,117,,,,,Brain sciences
29295279,autism,109,,,,,Studies in health technology and informatics
29295164,autism,80,,,,,Studies in health technology and informatics
29294103,autism,95,,,,,Nucleic acids research
29292077,autism,118,,,,,Neuroscience
