term,id,fk,smog,consen,ar,fkg,fks,lwf
autism,29373119,,16.6,,18.2,15.2,18.86,7.5
autism,29369294,,18.2,,22.2,17.7,12.46,7.91666666667
autism,29367178,,15.1,,14.8,13.1,35.07,7.0
autism,29361396,,21.3,,23.7,19.8,12.3,18.0
autism,29358944,,17.3,,18.5,16.5,21.02,13.125
autism,29355379,,17.1,,18.3,15.7,22.95,11.6
autism,29354029,,15.9,,19.5,14.5,31.41,11.8
autism,29349289,,15.6,,16.7,14.3,26.71,7.75
autism,29348041,,19.3,,22.2,19.3,2.79,13.625
autism,29348040,,18.6,,20.0,17.4,13.07,11.5
autism,29347569,,17.1,,19.2,16.4,31.85,16.3333333333
autism,29343961,,15.4,,16.5,13.0,40.79,13.125
autism,29342818,,17.1,,16.2,15.1,19.06,10.3333333333
autism,29342514,,15.9,,17.6,14.5,26.1,11.1666666667
autism,29336819,,18.5,,19.3,17.2,13.78,13.75
autism,29333487,,18.1,,19.9,17.6,12.77,10.6
autism,29333258,,16.2,,16.6,14.4,26.3,6.71428571429
autism,29333196,,16.8,,18.0,14.7,31.11,11.625
autism,29331800,,19.0,,18.3,17.2,19.2,12.5
autism,29331354,,14.3,,14.1,12.1,32.49,13.125
autism,29326565,,15.5,,15.7,13.5,39.47,11.4
autism,29326553,,18.6,,21.3,18.9,3.8,9.0
autism,29325848,,16.5,,19.1,16.3,16.02,11.2
autism,29321759,,18.5,,22.5,18.8,9.62,13.25
autism,29319673,,10.1,,15.8,6.3,79.9,7.91666666667
autism,29317992,,16.1,,16.0,14.0,27.42,8.58333333333
autism,29317982,,14.6,,18.0,13.9,27.62,14.375
autism,29317182,,18.4,,18.9,16.1,22.04,8.6
autism,29312285,,19.1,,20.8,17.9,17.17,14.25
autism,29312101,,14.4,,15.8,13.8,33.44,8.91666666667
autism,29311892,,17.5,,19.0,15.3,29.38,8.8
autism,29311773,,18.0,,21.0,18.1,16.86,15.125
autism,29310907,,13.9,,14.2,11.1,45.66,14.25
autism,29309996,,17.7,,20.4,16.6,20.62,9.0
autism,29306521,,22.3,,27.1,22.6,-0.34,19.8333333333
autism,29306218,,13.0,,15.5,12.4,36.89,8.4
autism,29301667,,15.0,,17.8,14.7,36.42,11.875
autism,29301665,,14.1,,13.0,12.0,43.43,8.9
autism,29301637,,16.4,,17.3,14.2,21.6,4.875
autism,29300843,,18.1,,21.4,18.1,16.86,14.875
autism,29298278,,13.6,,15.1,11.6,39.03,14.125
autism,29297264,,14.8,,18.2,15.4,23.66,11.2
autism,29296616,,12.5,,13.5,9.9,49.01,8.5
autism,29296277,,15.6,,17.0,13.2,34.86,8.7
autism,29296085,,14.3,,15.0,12.8,41.4,12.125
autism,29296026,,0.0,,17.7,6.8,56.93,1.5
autism,29295738,,18.1,,22.0,18.7,4.31,13.5
autism,29295472,,15.0,,16.9,14.5,26.1,7.83333333333
autism,29295279,,17.4,,20.9,18.1,-4.71,7.35714285714
autism,29295164,,15.7,,15.2,13.0,35.37,8.08333333333
autism,29294103,,14.6,,15.7,14.0,16.69,5.9375
autism,29292077,,14.2,,17.3,14.3,37.44,11.3
autism,29291670,,18.2,,19.3,16.1,22.04,15.0
autism,29291476,,15.5,,16.9,13.9,27.62,10.9
autism,29291238,,15.1,,15.0,13.6,39.26,13.875
autism,29290869,,16.8,,18.8,16.3,26.85,13.25
autism,29290407,,18.6,,20.4,17.6,12.77,11.6
autism,29290371,,18.0,,18.8,17.5,2.04,10.1666666667
autism,29290095,,15.8,,18.8,14.9,24.98,10.3
autism,29289793,,18.1,,19.5,16.3,16.12,11.1
autism,29289663,,17.5,,19.7,15.4,29.18,17.6666666667
autism,29289438,,17.3,,19.9,15.3,24.07,11.3
autism,29288796,,16.0,,18.9,14.6,31.21,11.1
autism,29288087,,16.8,,17.5,15.0,24.88,11.2
autism,29287877,,17.0,,17.3,15.3,24.17,10.7
autism,29287831,,15.7,,17.0,14.8,25.39,8.5
autism,29287246,,0.0,,23.1,19.3,19.03,20.5
autism,29287035,,14.7,,18.6,14.4,31.72,8.9
autism,29286586,,15.8,,16.4,12.9,30.36,16.3333333333
autism,29286389,,17.7,,20.0,15.9,17.03,13.625
autism,29286317,,16.1,,18.9,13.9,38.55,12.375
autism,29284820,,17.4,,17.5,15.1,29.89,13.125
autism,29284801,,17.1,,19.1,16.6,4.47,7.5
autism,29283066,,12.9,,13.1,10.2,53.51,8.1
autism,29282895,,15.1,,15.7,13.7,28.33,8.14285714286
autism,29282878,,15.8,,16.0,13.9,33.14,11.5
autism,29282644,,13.7,,14.6,11.9,38.42,7.57142857143
autism,29282584,,14.8,,16.4,13.8,38.66,13.0
autism,29281930,,16.7,,17.1,14.1,37.84,12.0
autism,29280230,,15.9,,15.2,13.3,34.66,8.08333333333
autism,29280190,,15.2,,16.3,14.2,21.5,6.8125
autism,29279889,,10.9,,11.1,8.4,58.08,7.66666666667
autism,29278772,,17.9,,21.2,18.4,15.95,14.875
autism,29277311,,18.0,,18.0,15.6,23.36,10.9
autism,29277263,,17.2,,19.9,15.9,27.86,12.75
autism,29277240,,17.1,,18.9,15.5,28.98,10.3
autism,29276530,,12.9,,15.2,11.8,38.52,8.7
autism,29275843,,16.7,,20.6,15.5,28.98,11.375
autism,29275793,,14.8,,17.3,12.1,48.43,11.0
